11-05-2023	05:32:00 	 90e8d7c7-4874-49e1-b905-cf461da7a093 	 GET 	 undefined 	 /subdir/index.html 
11-05-2023	05:32:00 	 0c2e80e7-f71c-4039-a403-65fffe20d3fa 	 GET 	 undefined 	 /css/style.css 
11-05-2023	05:32:00 	 ca899e96-f65d-4009-8ea9-cf8df40c84d8 	 GET 	 undefined 	 /subdir/index.html 
11-05-2023	05:32:00 	 9976541a-e70c-4d18-a378-dfda179807cb 	 GET 	 undefined 	 /css/style.css 
11-05-2023	05:32:04 	 7acde6ac-d334-45ef-a748-f226eda36895 	 GET 	 undefined 	 / 
11-05-2023	05:32:04 	 66d439f8-1c11-4bae-a7f1-e76317dbf962 	 GET 	 undefined 	 /css/style.css 
11-05-2023	05:35:23 	 a1982223-140d-4fcc-b857-f75d73d09117 	 GET 	 undefined 	 / 
11-05-2023	05:35:23 	 94cc30d3-491c-4bb3-ae53-f16fc7f2f90e 	 GET 	 undefined 	 /css/style.css 
11-05-2023	05:35:26 	 e871c20e-1e18-4994-90aa-548fdb3adebc 	 GET 	 undefined 	 /subdir/index.html 
11-05-2023	05:35:26 	 b2b24004-01d7-4f3e-a0b9-6b4bdfe46cd9 	 GET 	 undefined 	 /css/style.css 
11-05-2023	05:36:14 	 d8ab3074-56f0-4df0-b796-4c91869d1e2c 	 GET 	 undefined 	 /subdir/index.html 
11-05-2023	05:36:14 	 df47b8b4-49bf-4c72-aa71-cfefe0dc7a4d 	 GET 	 undefined 	 /css/style.css 
11-05-2023	05:37:04 	 e8e22a2c-68f8-4b8c-b552-307a81fc26cf 	 GET 	 undefined 	 /subdir/index.html 
11-05-2023	05:37:04 	 0cb01d91-9a23-43aa-9de7-b06c771e7c0a 	 GET 	 undefined 	 /css/style.css 
11-05-2023	05:37:19 	 bb97c0e5-341a-45b2-9725-b4350548afef 	 GET 	 undefined 	 /subdir/index.html 
11-05-2023	05:37:19 	 3fe4331b-ff28-4231-9cf8-c001514dab34 	 GET 	 undefined 	 /css/style.css 
11-05-2023	05:37:31 	 7d1c8282-8abb-4695-af0f-5549c9570c91 	 GET 	 undefined 	 /subdir/test.html 
11-05-2023	05:37:49 	 3c0717a8-4c05-40e9-8bcf-c5c28e788504 	 GET 	 undefined 	 /subdir/test.html 
11-05-2023	05:37:49 	 53ee9e2e-2d22-46e8-823a-d91095aa2285 	 GET 	 undefined 	 /css/style.css 
11-05-2023	05:40:09 	 2ca01986-2f0f-459f-9ad9-cef61526cc52 	 GET 	 undefined 	 /subdir/test.html 
